name,unit,date,value,desc,doc
C.04,20,10/01/2013,88.8,"Housing, water, electricity, gas, and other fuels",
C.04,20,11/01/2013,88.8,"Housing, water, electricity, gas, and other fuels",
C.04,20,12/01/2013,88.9,"Housing, water, electricity, gas, and other fuels",
C.04,20,01/01/2014,89.0,"Housing, water, electricity, gas, and other fuels",
C.04,20,02/01/2014,89.0,"Housing, water, electricity, gas, and other fuels",
C.04,20,03/01/2014,89.2,"Housing, water, electricity, gas, and other fuels",
C.04,20,04/01/2014,90.6,"Housing, water, electricity, gas, and other fuels",
C.04,20,05/01/2014,90.6,"Housing, water, electricity, gas, and other fuels",
C.04,20,06/01/2014,90.7,"Housing, water, electricity, gas, and other fuels",
C.04,20,07/01/2014,90.8,"Housing, water, electricity, gas, and other fuels",
C.04,20,08/01/2014,90.8,"Housing, water, electricity, gas, and other fuels",
C.04,20,09/01/2014,91.1,"Housing, water, electricity, gas, and other fuels",
C.04,20,10/01/2014,91.0,"Housing, water, electricity, gas, and other fuels",
C.04,20,11/01/2014,91.1,"Housing, water, electricity, gas, and other fuels",
C.04,20,12/01/2014,91.3,"Housing, water, electricity, gas, and other fuels",
C.04,20,01/01/2015,91.3,"Housing, water, electricity, gas, and other fuels",
C.04,20,02/01/2015,91.1,"Housing, water, electricity, gas, and other fuels",
C.04,20,03/01/2015,91.9,"Housing, water, electricity, gas, and other fuels",
C.04,20,04/01/2015,93.5,"Housing, water, electricity, gas, and other fuels",
C.04,20,05/01/2015,95.2,"Housing, water, electricity, gas, and other fuels",
C.04,20,06/01/2015,95.1,"Housing, water, electricity, gas, and other fuels",
C.04,20,07/01/2015,96.3,"Housing, water, electricity, gas, and other fuels",
C.04,20,08/01/2015,96.0,"Housing, water, electricity, gas, and other fuels",
C.04,20,09/01/2015,96.0,"Housing, water, electricity, gas, and other fuels",
C.04,20,10/01/2015,96.2,"Housing, water, electricity, gas, and other fuels",
C.04,20,11/01/2015,96.2,"Housing, water, electricity, gas, and other fuels",
C.04,20,12/01/2015,96.3,"Housing, water, electricity, gas, and other fuels",
C.04,20,01/01/2016,96.5,"Housing, water, electricity, gas, and other fuels",
C.04,20,02/01/2016,96.5,"Housing, water, electricity, gas, and other fuels",
C.04,20,03/01/2016,96.5,"Housing, water, electricity, gas, and other fuels",
C.04,20,04/01/2016,99.5,"Housing, water, electricity, gas, and other fuels",
C.04,20,05/01/2016,99.6,"Housing, water, electricity, gas, and other fuels",
C.04,20,06/01/2016,99.9,"Housing, water, electricity, gas, and other fuels",
C.04,20,07/01/2016,99.9,"Housing, water, electricity, gas, and other fuels",
C.04,20,08/01/2016,99.8,"Housing, water, electricity, gas, and other fuels",
C.04,20,09/01/2016,99.8,"Housing, water, electricity, gas, and other fuels",
C.04,20,10/01/2016,99.8,"Housing, water, electricity, gas, and other fuels",
C.04,20,11/01/2016,99.8,"Housing, water, electricity, gas, and other fuels",
C.04,20,12/01/2016,99.8,"Housing, water, electricity, gas, and other fuels",
C.04,20,01/01/2017,99.8,"Housing, water, electricity, gas, and other fuels",
C.04,20,02/01/2017,100.0,"Housing, water, electricity, gas, and other fuels",
C.04,20,03/01/2017,100.0,"Housing, water, electricity, gas, and other fuels",
C.04,20,04/01/2017,107.7,"Housing, water, electricity, gas, and other fuels",
C.04,20,05/01/2017,107.8,"Housing, water, electricity, gas, and other fuels",
C.04,20,06/01/2017,107.8,"Housing, water, electricity, gas, and other fuels",
C.04,20,07/01/2017,107.9,"Housing, water, electricity, gas, and other fuels",
C.04,20,08/01/2017,107.9,"Housing, water, electricity, gas, and other fuels",
C.04,20,09/01/2017,107.9,"Housing, water, electricity, gas, and other fuels",
C.04,20,10/01/2017,108.0,"Housing, water, electricity, gas, and other fuels",
C.04,20,11/01/2017,108.0,"Housing, water, electricity, gas, and other fuels",
C.04,20,12/01/2017,108.0,"Housing, water, electricity, gas, and other fuels",
C.04,20,01/01/2018,108.0,"Housing, water, electricity, gas, and other fuels",
C.04,20,02/01/2018,108.1,"Housing, water, electricity, gas, and other fuels",
C.04,20,03/01/2018,108.1,"Housing, water, electricity, gas, and other fuels",
C.04,20,04/01/2018,122.0,"Housing, water, electricity, gas, and other fuels",
C.04,20,05/01/2018,122.7,"Housing, water, electricity, gas, and other fuels",
C.04,20,06/01/2018,122.9,"Housing, water, electricity, gas, and other fuels",
C.04,20,07/01/2018,123.5,"Housing, water, electricity, gas, and other fuels",
C.04,20,08/01/2018,124.0,"Housing, water, electricity, gas, and other fuels",
C.04,20,09/01/2018,124.1,"Housing, water, electricity, gas, and other fuels",
C.041,20,01/01/2013,88.2,Actual rentals for housing,
C.041,20,02/01/2013,88.2,Actual rentals for housing,
C.041,20,03/01/2013,88.2,Actual rentals for housing,
C.041,20,04/01/2013,92.7,Actual rentals for housing,
C.041,20,05/01/2013,92.7,Actual rentals for housing,
C.041,20,06/01/2013,92.7,Actual rentals for housing,
C.041,20,07/01/2013,92.7,Actual rentals for housing,
C.041,20,08/01/2013,92.7,Actual rentals for housing,
C.041,20,09/01/2013,92.7,Actual rentals for housing,
C.041,20,10/01/2013,92.7,Actual rentals for housing,
C.041,20,11/01/2013,92.7,Actual rentals for housing,
C.041,20,12/01/2013,92.7,Actual rentals for housing,
C.041,20,01/01/2014,92.7,Actual rentals for housing,
C.041,20,02/01/2014,92.7,Actual rentals for housing,
C.041,20,03/01/2014,92.7,Actual rentals for housing,
C.041,20,04/01/2014,92.7,Actual rentals for housing,
C.041,20,05/01/2014,92.7,Actual rentals for housing,
C.041,20,06/01/2014,92.7,Actual rentals for housing,
C.041,20,07/01/2014,92.7,Actual rentals for housing,
C.041,20,08/01/2014,92.7,Actual rentals for housing,
C.041,20,09/01/2014,92.7,Actual rentals for housing,
C.041,20,10/01/2014,92.7,Actual rentals for housing,
C.041,20,11/01/2014,92.8,Actual rentals for housing,
C.041,20,12/01/2014,92.8,Actual rentals for housing,
C.041,20,01/01/2015,92.8,Actual rentals for housing,
C.041,20,02/01/2015,92.8,Actual rentals for housing,
C.041,20,03/01/2015,93.8,Actual rentals for housing,
C.041,20,04/01/2015,96.3,Actual rentals for housing,
C.041,20,05/01/2015,96.3,Actual rentals for housing,
C.041,20,06/01/2015,96.3,Actual rentals for housing,
C.041,20,07/01/2015,97.6,Actual rentals for housing,
C.041,20,08/01/2015,97.6,Actual rentals for housing,
C.041,20,09/01/2015,97.6,Actual rentals for housing,
C.041,20,10/01/2015,97.6,Actual rentals for housing,
C.041,20,11/01/2015,97.6,Actual rentals for housing,
C.041,20,12/01/2015,97.6,Actual rentals for housing,
C.041,20,01/01/2016,97.6,Actual rentals for housing,
C.041,20,02/01/2016,97.6,Actual rentals for housing,
C.041,20,03/01/2016,97.6,Actual rentals for housing,
C.041,20,04/01/2016,100.0,Actual rentals for housing,
C.041,20,05/01/2016,100.0,Actual rentals for housing,
C.041,20,06/01/2016,100.0,Actual rentals for housing,
C.041,20,07/01/2016,100.0,Actual rentals for housing,
C.041,20,08/01/2016,100.0,Actual rentals for housing,
C.041,20,09/01/2016,100.0,Actual rentals for housing,
C.041,20,10/01/2016,100.0,Actual rentals for housing,
C.041,20,11/01/2016,100.0,Actual rentals for housing,
C.041,20,12/01/2016,100.0,Actual rentals for housing,
C.041,20,01/01/2017,100.0,Actual rentals for housing,
C.041,20,02/01/2017,100.0,Actual rentals for housing,
C.041,20,03/01/2017,100.0,Actual rentals for housing,
C.041,20,04/01/2017,106.8,Actual rentals for housing,
C.041,20,05/01/2017,106.8,Actual rentals for housing,
C.041,20,06/01/2017,106.8,Actual rentals for housing,
C.041,20,07/01/2017,106.8,Actual rentals for housing,
C.041,20,08/01/2017,106.8,Actual rentals for housing,
C.041,20,09/01/2017,106.8,Actual rentals for housing,
C.041,20,10/01/2017,106.8,Actual rentals for housing,
C.041,20,11/01/2017,106.8,Actual rentals for housing,
C.041,20,12/01/2017,106.8,Actual rentals for housing,
C.041,20,01/01/2018,106.8,Actual rentals for housing,
C.041,20,02/01/2018,106.8,Actual rentals for housing,
C.041,20,03/01/2018,106.8,Actual rentals for housing,
C.041,20,04/01/2018,122.8,Actual rentals for housing,
C.041,20,05/01/2018,122.8,Actual rentals for housing,
C.041,20,06/01/2018,122.8,Actual rentals for housing,
C.041,20,07/01/2018,122.8,Actual rentals for housing,
C.041,20,08/01/2018,122.8,Actual rentals for housing,
C.041,20,09/01/2018,122.8,Actual rentals for housing,
C.05,20,01/01/2013,80.9,"Furnishing, household equipment and routine household maintenance",
C.05,20,02/01/2013,81.0,"Furnishing, household equipment and routine household maintenance",
C.05,20,03/01/2013,81.7,"Furnishing, household equipment and routine household maintenance",
C.05,20,04/01/2013,81.5,"Furnishing, household equipment and routine household maintenance",
C.05,20,05/01/2013,82.1,"Furnishing, household equipment and routine household maintenance",
C.05,20,06/01/2013,81.7,"Furnishing, household equipment and routine household maintenance",
C.05,20,07/01/2013,81.7,"Furnishing, household equipment and routine household maintenance",
C.05,20,08/01/2013,82.0,"Furnishing, household equipment and routine household maintenance",
C.05,20,09/01/2013,82.3,"Furnishing, household equipment and routine household maintenance",
C.05,20,10/01/2013,82.7,"Furnishing, household equipment and routine household maintenance",
C.05,20,11/01/2013,83.1,"Furnishing, household equipment and routine household maintenance",
C.05,20,12/01/2013,83.7,"Furnishing, household equipment and routine household maintenance",
C.05,20,01/01/2014,84.1,"Furnishing, household equipment and routine household maintenance",
